pdf,page,code,name,qty,stock_price,box_price
2.pdf,2,C15-27-1,F01 wholesale,,32.0,31.0
2.pdf,2,C15-27-2,PM-2002pearl max绿色舒适,,31.0,39.0
2.pdf,2,C15-27-3,PM-2603Bpearlmax橡胶柄,,38.0,12.5
2.pdf,3,C15-27-4,PM-3004Bpearlmax短海马柄,,10.0,9.5
2.pdf,3,C15-27-5,PMD-007 pearl max 双面刀片,,36.0,35.0
2.pdf,3,C15-27-6,PM-2610Bpearlmax708刀架,,6.5,6.2
2.pdf,4,C15-34-1,LUDE 100M shose polish L,,10.5,10.0
2.pdf,4,C15-34-2,LUDE 4oM L黑鞋油 shose polish,,10.5,10.0
2.pdf,4,C15-34-3,G428 brush 塑料刷子,,4.8,4.4
2.pdf,4,C15-34-4,G400 brush塑料刷子,,2.8,2.5
2.pdf,5,C15-34-5,T428 brush 木头刷子,,3.0,2.6
2.pdf,5,C15-34-6,小400 brush木头刷子,,3.0,2.6
2.pdf,5,C15-34-7,QJ804 soap box 盒,,3.0,2.6
2.pdf,5,C15-34-8,BC120 soap box 皂盒,,6.0,5.5
2.pdf,6,C15-34-9,soap box 皂盒,,6.0,5.5
2.pdf,6,C15-34-10,XYJ-30 clamp 夹子,,6.0,5.5
2.pdf,6,C15-34-11,CY12CM clamp 衣夹,,8.5,8.0
2.pdf,6,C15-32-1YAODONGBANG,YAOONG BANG,,11.5,11.0
2.pdf,6,C15-32-1,YAOONG BANG,,11.0,7.0
2.pdf,7,C15-32-2BABYWIPES,Baby Tender,,7.0,6.5
2.pdf,7,C15-32-2,Baby Tender,,7.0,6.5
2.pdf,7,C15-32-3,FRESWSCTED,,7.0,6.5
2.pdf,7,C15-32-3,FRESWSCTED,,7.0,6.5
2.pdf,7,C15-32-3,DESC卷发方盖无纺布,,6.5,8.0
2.pdf,7,C15-32-4,ITEMNO,40,8.0,7.5
2.pdf,7,C15-32-4,ITEMNO,40,7.5,11.0
2.pdf,7,C15-32-4,ITEMNO,40,11.0,9.5
2.pdf,7,C5-31-1,,,11.0,9.5
2.pdf,7,C5-31-1,,,11.0,9.5
2.pdf,8,C5-31-2,,,3.8,3.6
2.pdf,8,C5-31-2,,,3.8,3.6
2.pdf,8,C5-31-3,bowl8寸波纹碗,,3.8,3.6
2.pdf,8,C5-31-3,bowl8寸波纹碗,,3.8,3.6
2.pdf,8,C5-31-4,bowl8寸波纹碗,,3.5,3.2
2.pdf,8,C5-31-4,bowl8寸波纹碗,,3.2,6.0
2.pdf,8,C5-31-5,,,6.0,4.8
2.pdf,8,C5-31-5,,,4.8,7.0
2.pdf,9,C5-31-8,bowl 8寸碗 1PCS,,7.0,5.5
2.pdf,9,C5-31-8,bowl 8寸碗 1PCS,,7.0,5.5
2.pdf,9,C5-31-9,bowl 8寸碗 1PCS,,7.0,5.5
2.pdf,9,C5-31-9,bowl 8寸碗 1PCS,,7.0,5.5
2.pdf,9,C5-31-10,,,6.5,6.0
2.pdf,9,C5-31-10,,,6.5,6.0
2.pdf,10,C5-31-11,,,5.0,4.5
2.pdf,10,C5-31-11,,,5.0,4.5
2.pdf,10,C5-31-12,,,5.0,4.5
2.pdf,10,C5-31-12,,,5.0,4.5
2.pdf,10,C5-31-13,,,5.0,4.8
2.pdf,10,C5-31-13,,,5.0,4.8
2.pdf,10,C5-31-14,,,8.5,7.2
2.pdf,11,C5-31-14,,,12.0,11.0
2.pdf,11,C5-31-15,,,12.0,11.0
2.pdf,11,C5-31-15,,,12.0,11.0
2.pdf,11,C5-31-16,,,10.0,9.0
2.pdf,11,C5-31-16,,,10.0,9.0
2.pdf,11,C5-31-17,,,9.0,8.5
2.pdf,11,C5-31-17,,,9.0,8.5
3.pdf,2,C15-25-180,F01 wholesale,,12.0,11.6
3.pdf,2,C15-25-1,F01 wholesale,,12.0,11.6
3.pdf,2,C15-25-257,,,12.0,11.6
3.pdf,2,C15-25-2,,,12.0,11.6
3.pdf,2,C15-25-350,,,6.0,5.5
3.pdf,2,C15-25-3,,,6.0,5.5
3.pdf,3,C15-25-4200,type.1pcs,,10.0,9.5
3.pdf,3,C15-25-4,type.1pcs,,10.0,9.5
3.pdf,3,C15-25-5200,type.1pcs,,10.0,9.5
3.pdf,3,C15-25-5,type.1pcs,,10.0,9.5
3.pdf,3,C15-25-6300,type 1pcs,,16.5,16.0
3.pdf,3,C15-25-6,type 1pcs,,16.5,16.0
3.pdf,4,C15-25-170,CREEN FARCE,,3.5,3.0
3.pdf,4,C15-25-7,CREEN FARCE,,3.5,3.0
3.pdf,4,C15-25-8C,Mouse & Rat,,3.5,3.0
3.pdf,4,C15-25-8,BLACK MOSQUITOREPELLENTINCENESE,,3.5,3.0
3.pdf,4,C15-25-9C,BLACK MOSQUITOREPELLENTINCENESE,,7.0,6.5
3.pdf,4,C15-25-9,COIL 1pcs,,6.5,6.5
3.pdf,5,C15-25-10,MOSQUITO COI,,7.0,
3.pdf,5,C15-25-10,MOSQUITO COI,,7.0,6.5
3.pdf,5,C15-25-11,MOSQUITO COI,,7.0,6.5
3.pdf,5,C15-25-11,CONFU.KING,,6.5,3.0
3.pdf,5,C15-25-12,TRAY 1pcS,,3.0,2.5
3.pdf,5,C15-25-12,TRAY 1pcS,,3.0,2.5
3.pdf,6,C15-25-134PCS,cleaner 1pcs,,7.0,6.5
3.pdf,6,C15-25-13,cleaner 1pcs,,7.0,6.5
3.pdf,6,C15-25-142PCS,cleaner 1pcs,,7.0,6.5
3.pdf,6,C15-25-14,cleaner 1pcs,,6.5,3.5
3.pdf,6,C15-25-15,Auto Tollet Cleaner,,3.5,3.3
3.pdf,6,C15-25-15,BOARD 1pcs,,3.3,
3.pdf,7,C15-25-16,KILLING BAIT 1pcs,,40.0,
3.pdf,7,C15-25-16,KILLING BAIT 1pcs,,40.0,38.0
3.pdf,7,C15-25-17,Cockroachiling Baf,,40.0,38.0
3.pdf,7,C15-25-17,BART 1pcs,,40.0,38.0
3.pdf,7,C15-25-18100,Antkiling bast,,40.0,38.0
3.pdf,7,C15-25-18,DI LING PAI,,38.0,5.0
3.pdf,8,C15-25-197,MiountingTape,,3.5,
3.pdf,8,C15-25-19,MiountingTape,,3.5,3.0
3.pdf,8,C15-25-202,Mounting Tape,,3.5,3.0
3.pdf,8,C15-25-20,Mounting Tape,,3.0,6.5
3.pdf,8,C15-25-21,LOEINCHINA,,6.5,6.0
3.pdf,8,C15-25-21,LOEINCHINA,,6.0,8.5
3.pdf,9,C15-25-22,MADEINCHINA,,4.8,4.5
3.pdf,9,C15-25-22,MADEINCHINA,,4.8,4.5
3.pdf,9,C15-25-233,MADEINCHINA,,4.8,4.5
3.pdf,9,C15-25-23,Dasheng Technology,,4.5,6.8
3.pdf,9,C15-25-243,MOUNTINGTAPE,,6.8,6.5
